id,name,domain,distance,authentication_provider
130964, Center for Advanced Legal Studies,paralegal.instructure.com,,
137548, Clary Sage College,mycourseconnection.instructure.com,,canvas
135824, Eagle Ridge High School,eagleridgehigh.instructure.com,,
130575, Kutztown Area School District - Students/Teachers,kutztown.instructure.com,,saml
132945, Lutheran South Academy (students and teachers),lutheransouthacademy.instructure.com,,saml
135676, Mehlville School District R9 (Students/Teachers),mehlvilleschooldistrict.instructure.com,,saml
138354, RESC Alliance,rescalliance.instructure.com,,saml
134448, Rochester CUSD 3A (Parents/Guardians),rochester3a.instructure.com,,canvas
135127, South Redford School District (Parents/Guardians) ,southredford.instructure.com,,canvas
136894, Southwestern Oregon Community College,socc.instructure.com,,saml
134844, St Lawrence Catholic School Tampa (parents),stlawrencecatholicschool.instructure.com,,canvas
134843, St Lawrence Catholic School Tampa (students),stlawrencecatholicschool.instructure.com,,saml
134761, Taft City School District - Parents,taftcity.instructure.com,,109
134252, Taft City School District - Staff/Students,taftcity.instructure.com,,219
134736, Tiffin City Schools,tiffincityschools.instructure.com,,canvas
137736,(PSR) P. Steve Ramirez Vocational Training Centers,psr.instructure.com,,canvas
137758,09633076 instructure,mobileqa.instructure.com,,
137487,1199SEIU,seiufunds.instructure.com,,
132795,160 Driving Academy,160drivingacademy.instructure.com,,canvas
139875,3Bridges,3bridges.instructure.com,,
130375,3Lakes,3lakes.instructure.com,,google
130376,3Lakes - Parents,3lakes.instructure.com,,canvas
139766,4C Ministry Institute,4cministry.instructure.com,,canvas
126425,95 Percent Group,95percentgroup.instructure.com,,
133442,A-List,alist.instructure.com,,
129902,"A.T. Still University, ATSU",atsu.instructure.com,,saml
139673,AAA Academy,aaaacademy.instructure.com,,
129409,AACM,aacm.instructure.com,,canvas
135837,AAI,ancoraeducation.instructure.com,,16
136624,AAP - Johns Hopkins University,jhu.instructure.com,,
140673,ABANA Enterprises Group,canvas-abana.instructure.com,,
137023,ABCD,abcd.instructure.com,,
131354,ABF VUX,abfvux.instructure.com,,canvas
131359,ABS Institute of Management,absinstitute.instructure.com,,
136031,ACBI,acbi.instructure.com,,
139892,ACCLM - Australasian College of Care Leadership and Management,acclm.instructure.com,,canvas
140053,ACCS Innovation Center - NEW,accs.instructure.com,,38
140039,ACCS System Office ,alabama.instructure.com,,saml
130096,ACE Community Colleges ,acecolleges.instructure.com,,canvas
136747,ACG - The American College of Greece,canvas.acg.edu,,
137378,ACLT-Association of Costs Lawyer Training,aclt.instructure.com,,
129244,ACRRM,acrrm.instructure.com,,saml
134012,ACTU Education Inc.,actu.instructure.com,,canvas
136696,ACU-DEV,acu-dev.instructure.com,,
127346,ACUE (Association of College and University Educators),acue.instructure.com,,
137519,ADIA Scholarship Programme,asp.instructure.com,,
131386,ADL,adl.instructure.com,,canvas
140258,ADLUNI-DEV,learn-dev.adelaide.edu.au,,
140552,ADLUNI-PROD,learn.adelaide.edu.au,,
133287,AEATS,aeats.instructure.com,,
133107,AF Accelerate,afaccelerate.instructure.com,,
138087,AHN - Parents,ahn.instructure.com,,1
138086,AHN - Students/Faculty,ahn.instructure.com,,3
126429,AHS Institute,ahs.instructure.com,,
